Importers,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
AGRICOMM IMPEX,42940.0,42940.0,42940.0,42940.0,42940.0,42940.0,42940.0,42940.0,42940.0,42940.000000000226
AGRICROP IMPEX,253084.0,253084.0,253084.0,253084.0,253084.0,253084.0,253084.0,253084.0,253084.0,253084.00000000017
AGRIGENOME LABS PRIVATE LIMITED,371.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0000000002328
AGRIM CHEMTECH,101000.0,101000.0,101000.0,101000.0,101000.0,101000.0,101000.0,101000.0,101000.0,101000.00000000022
AGRIPRIME COMMODITIES P. LTD.,154000.0,154000.0,154000.0,154000.0,154000.0,154000.0,154000.0,154000.0,154000.0,154000.0000000002
AGRO HYTOS P. LTD.,10594.0,10594.0,10594.0,10594.0,10594.0,10594.0,10594.0,10594.0,10594.0,10594.000000000231
AGRO INDUS CREDITS LIMITED,10730.0,10730.0,10730.0,10730.0,10730.0,10730.0,10730.0,10730.0,10730.0,10730.000000000231
AGS TRANSACT TECHNOLOGIES LTD.,7408.0,7408.0,7408.0,7408.0,7408.0,7408.0,7408.0,7408.0,7408.0,7408.000000000231
AGUS ENTERPRISES,5302.0,845.0,5600.0,8018.0,11064.0,13962.0,13962.0,13962.0,13962.0,13962.000000000222
AHALYA AGENCIES,44936.0,95724.0,95724.0,95724.0,95724.0,95724.0,95724.0,95724.0,95724.0,95724.00000000025
AHALYA CASHEW COMPANY,54675.0,54675.0,54675.0,54675.0,54675.0,54675.0,54675.0,54675.0,54675.0,54675.00000000022
AHAMMAD M. P,6690.0,6690.0,18300.0,18300.0,18300.0,18300.0,18300.0,18300.0,18300.0,18300.000000000226
AHAMMED BADER & SULAIMAN,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.00000000023
AHILA WOOD PRODUCTS & PLYWOOD INDUSTRIES,102250.0,42960.0,156930.0,57705.0,153000.0,28000.0,17350.0,6700.0,6700.0,6700.000000000515
AHSAR O,4300.0,4300.0,4300.0,4300.0,4300.0,4300.0,4300.0,4300.0,4300.0,4300.000000000232
AI CONTROL AND SYSTEM,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.00000000023282
AIKO TRADERS ,158050.0,109640.0,109640.0,109640.0,109640.0,109640.0,109640.0,109640.0,109640.0,109640.00000000017
AIM HIGH,2275.0,2275.0,2275.0,2275.0,2275.0,2275.0,2275.0,2275.0,2275.0,2275.0000000002324
AIM OVERSEAS,21500.0,21500.0,21500.0,21500.0,29800.0,29800.0,29800.0,29800.0,29800.0,29800.000000000233
AIM TRADERS,126366.0,126366.0,126366.0,126366.0,126366.0,126366.0,126366.0,126366.0,126366.0,126366.0000000002
AIMFILL IMPORTERS,12872.0,12872.0,15800.0,15800.0,15800.0,15800.0,15800.0,15800.0,15800.0,15800.00000000023
AIR INDIA LTD.,15051.0,15051.0,15051.0,49090.0,68483.0,20859.0,43347.0,69780.0,74147.0,74147.00000000022
AIR ROTOR TECHNOLOGIES PVT LTD,5307.0,5307.0,5307.0,5307.0,5307.0,5307.0,5307.0,5307.0,5307.0,5307.000000000232
AIRPORT AUTHORITY OF INDIA,47533.0,47533.0,47533.0,1200.0,30277.0,30277.0,30277.0,30277.0,30277.0,30277.000000000295
AIRSEALAND IMPEX  P. LTD.,7818.0,7818.0,7818.0,23230.0,20500.0,20500.0,20500.0,20500.0,20500.0,20500.00000000021
AIRTRAVEL ENTERPRISES INDIA LTD.,4130.0,4130.0,4130.0,4130.0,4130.0,4130.0,4130.0,4130.0,4130.0,4130.000000000232
AIS FOOD PRODUCTS INDIA P. LTD.,11700.0,11700.0,11700.0,11700.0,11700.0,11700.0,11700.0,11700.0,11700.0,11700.000000000231
AISWARYA APPARELS,81600.0,81600.0,81600.0,81600.0,81600.0,81600.0,81600.0,81600.0,81600.0,81600.00000000022
AISWARYA GRANITES,41700.0,41700.0,41700.0,41700.0,41700.0,41700.0,41700.0,41700.0,41700.0,41700.000000000226
AISWARYA PLYWOOD INDUSTRIES,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,28000.000000000226
AIWA ENTERPRISES,3580.0,3580.0,3580.0,3580.0,3580.0,3580.0,3580.0,3580.0,3580.0,3580.000000000232
AIYSHA TRADERS,38265.0,38265.0,38265.0,38265.0,38265.0,26032.5,13800.0,13800.0,13800.0,13800.000000000251
AJAAN RELATORS INDIA P. LTD.,595.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0000000002327
AJANTA INDUSTRIES,104685.0,104685.0,104685.0,104685.0,104685.0,104685.0,104685.0,104685.0,104685.0,104685.00000000022
AJAYA PLASTIC DIE AND ENGG. WORKS,795.0,795.0,2060.0,3325.0,4590.0,5855.0,7120.0,7120.0,7120.0,7120.000000000228
AJBI OVERSEAS,16533.0,16533.0,16533.0,16533.0,16533.0,16533.0,16533.0,16533.0,16533.0,16533.00000000023
AJBI OVERSEAS   ,36600.0,36600.0,36600.0,36600.0,36600.0,36600.0,36600.0,36600.0,36600.0,36600.000000000226
AJFAN FOODS,78000.0,67100.0,56200.0,45300.0,34400.0,23500.0,12600.0,1700.0,1700.0,1700.0000000002594
AJIMI IMPEX,8820.0,8820.0,8820.0,8820.0,8820.0,8820.0,8820.0,8820.0,8820.0,8820.000000000231
AJITH AGENCIES,70711.0,10211.0,10211.0,10211.0,10211.0,10211.0,10211.0,10211.0,10211.0,10211.000000000195
AJWA DRY FRUIT IMPEX,26012.0,26012.0,26012.0,26012.0,26012.0,399287.0,796381.0,5000.0,5000.0,5000.000000000272
AJWA ENTERPRISES,22115.0,22115.0,22115.0,10819.0,12124.0,13429.0,13429.0,13429.0,13429.0,13429.000000000242
AKARATH PUTHIYAVEEDU SHIMNA,46140.0,46140.0,46140.0,46140.0,46140.0,46140.0,46140.0,46140.0,46140.0,46140.000000000226
AKASH ALUMINIUM COMPANY,22197.0,22197.0,22197.0,22197.0,22197.0,22197.0,22197.0,22197.0,22197.0,22197.00000000023
AKASH EXPORTS,50030.0,50030.0,50030.0,50030.0,50030.0,50030.0,50030.0,50030.0,50030.0,50030.000000000226
AKASH INDCHI IMPORT AND EXPORT COMPANY,1215.0,1215.0,1215.0,1215.0,1215.0,1215.0,1215.0,1215.0,1215.0,1215.0000000002326
AKASH PETS,44500.0,44500.0,44500.0,44500.0,44500.0,44500.0,44500.0,44500.0,44500.0,44500.000000000226
AKASH ROOFINGS,1665212.0,2042164.0,1398691.0,29765.0,29765.0,29765.0,29765.0,29765.0,29765.0,29765.000000001957
AKASH STEEL CRAFTS P. LTD.,26880.0,26880.0,26880.0,26880.0,26880.0,26880.0,26880.0,26880.0,26880.0,26880.00000000023
AKAY FLAVOURS & AROMATICS LTD.,1342276.0,2340284.0,3253572.0,4402944.0,5072376.0,485875.0,16480.0,16480.0,16480.0,16480.00000000566
AKAY NATURAL INGREDIENTS P. LTD.,2497514.0,2497514.0,2497514.0,2497514.0,2497514.0,2497514.0,3186738.0,2716712.0,2299320.0,2299320.0
AKAY TOP INDUSTRIES,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0000000002324
AKD POLYMERS P. LTD.,26130.0,26130.0,156572.0,183083.5,209595.0,723500.0,444028.0,140560.0,140560.0,140560.0
AKG INDIA P. LTD.,32040.0,32040.0,32040.0,32040.0,32040.0,32040.0,32040.0,32040.0,32040.0,32040.000000000226
AKHILA WOOD PRODUCTS & PLYWOOD INDUSTRIES,49220.0,49220.0,49220.0,49220.0,49220.0,49220.0,49220.0,49220.0,49220.0,49220.000000000226
AKKALA PANKAJAKSHAN PRAMOD,6501.0,6501.0,6501.0,6501.0,6501.0,6501.0,6501.0,6501.0,6501.0,6501.000000000232
AKP HOME WARE,11095.0,7667.0,4239.0,3523.0,3523.0,3523.0,3523.0,3523.0,3523.0,3523.0000000002315
AKS INTERNATIONAL,4149.0,4149.0,4149.0,4149.0,4149.0,4149.0,4149.0,4149.0,4149.0,4149.000000000232
AKSHARA OFFSET,16150.0,16150.0,16150.0,16150.0,16150.0,16150.0,16150.0,16150.0,16150.0,16150.00000000023
AKSHAY IMPEX,74844.0,74844.0,74844.0,74844.0,74844.0,74844.0,74844.0,74844.0,74844.0,74844.00000000022
AKSHAYALAKSHMI TRADING PVT LTD,220000.0,220000.0,220000.0,220000.0,220000.0,220000.0,4892000.0,4847590.0,5142500.0,5142499.999999996
AKSHYALAKSHMI TRADING P. LTD.,522500.0,522500.0,522500.0,522500.0,522500.0,522500.0,522500.0,522500.0,522500.0,522500.0000000001
AKSON INTERNATIONAL,1171473.0,1171473.0,2423141.0,1619133.0,1643442.0,896308.0,704460.0,450300.0,578246.0,578246.0000000019
AKSON INTERNATIONAL ,152939.0,152939.0,54222.0,54222.0,54222.0,54222.0,54222.0,54222.0,54222.0,54222.00000000025
AKTECH MITHRA MARKETING (INDIA) P. LTD.,5800.0,5800.0,5800.0,5800.0,5800.0,5800.0,5800.0,5800.0,5800.0,5800.000000000232
AL ABEER EDUCATIONAL AND CHARITABLE TRUST,976183.0,851984.0,851984.0,851984.0,851984.0,851984.0,851984.0,851984.0,851984.0,851984.0
AL AMEEN INDUSTRIES,14181.0,14181.0,14181.0,14181.0,14181.0,14181.0,14181.0,14181.0,14181.0,14181.00000000023
AL AMEER MATTRESS,2370.0,2370.0,2370.0,2370.0,2370.0,2370.0,2370.0,2370.0,2370.0,2370.0000000002324
AL ANWAR MARKETING COMPANY,18640.0,18640.0,18640.0,18640.0,18640.0,18640.0,18640.0,18640.0,18640.0,18640.00000000023
AL BADAR SPICES,26485.0,26485.0,26485.0,26485.0,26485.0,26485.0,26485.0,26485.0,26485.0,26485.00000000023
AL BADRIYA WOOD INDUSTRIES,164414.0,164414.0,339891.0,177431.0,238298.0,661693.0,317795.0,1255104.0,1367037.0,1367036.999999999
AL BENA MDF FURNITURE,15740.0,15740.0,15740.0,15740.0,15740.0,15740.0,15740.0,15740.0,15740.0,15740.00000000023
"AL BORZ IMPEX,",110400.0,110400.0,110400.0,110400.0,110400.0,110400.0,110400.0,110400.0,110400.0,110400.0000000002
AL FAAF EXPORTS & IMPORTS,26822.0,26822.0,26822.0,26822.0,26822.0,26822.0,26822.0,26822.0,26580.0,26580.00000000023
AL FAB FOLDING,7640.0,7640.0,7640.0,7640.0,7640.0,7640.0,7640.0,7640.0,7640.0,7640.000000000231
AL FAS LAMINATIONS P. LTD.,511891.0,511891.0,511891.0,331586.0,198749.0,178052.0,606274.0,919176.0,665442.0,665441.9999999997
AL FATAH IMPEX,46330.0,46330.0,46330.0,46330.0,46330.0,172427.0,172427.0,172427.0,172427.0,172427.00000000006
AL FAUZ TRADERS,2176.0,2176.0,3300.0,3322.0,3322.0,3322.0,3322.0,3322.0,3322.0,3322.000000000232
AL GHAZAL EXPORTS,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0000000002328
AL JAIMA AL ISLAMIYA,82429.0,82429.0,82429.0,82429.0,82429.0,82429.0,82429.0,82429.0,82429.0,82429.00000000022
AL KABEER EXIM,27000.0,27000.0,27000.0,27000.0,27000.0,27000.0,27000.0,27000.0,27000.0,27000.00000000023
AL KABEER EXPORTERS,13030.0,13030.0,13030.0,51200.0,186154.0,26780.0,25060.0,25060.0,25060.0,25060.000000000487
AL KHALEEJ AUTOMATIC BAKERY,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.000000000231
AL MADEENA ENTERPRISES,7000.0,20753.38,34506.75,48260.13,62013.5,75766.87,89520.25,103273.63,117027.0,117027.00000000017
AL MADINA TRADERS,98291.0,98291.0,98291.0,98291.0,84008.8,69726.6,55444.4,41162.2,26880.0,26880.00000000026
AL MAEDHA ENTERPRISES,268650.0,268650.0,268650.0,268650.0,268650.0,268650.0,268650.0,503525.0,661441.0,661440.9999999999
AL MANAMA RETAIL P. LTD.,26900.0,26900.0,26900.0,26900.0,26900.0,26900.0,26900.0,26900.0,26900.0,26900.00000000023
AL MAS EXPORTS & IMPORTS,8552.0,8552.0,8552.0,8552.0,8552.0,8552.0,8552.0,8552.0,8552.0,8552.000000000231
AL MAZARA EXIM TRADE,53248.0,53248.0,53248.0,53248.0,53248.0,56649.5,60051.0,60051.0,60051.0,60051.00000000021
AL MOND INTERNATIONAL ,7531.0,7531.0,3395.0,3395.0,3395.0,3395.0,3395.0,3395.0,3395.0,3395.0000000002333
AL MUIZ TRADING CO.,27650.0,27650.0,27650.0,27650.0,27650.0,27650.0,27650.0,27650.0,27650.0,27650.000000000226
AL SHABIB TRADING COMPANY,384168.0,7465.0,70418.0,20190.0,103535.0,9710.0,9710.0,9710.0,9710.0,9710.000000000227
AL ZAHRA DATES,12630.0,12630.0,12630.0,12630.0,10660.0,10730.0,10800.0,10800.0,10800.0,10800.00000000023
AL-AMEEN TRADERS,19120.0,19120.0,19120.0,19120.0,19120.0,19120.0,19120.0,19120.0,19120.0,19120.00000000023
AL-AMEER ASSOCIATES,7650.0,7650.0,7650.0,7650.0,7650.0,7650.0,7650.0,7650.0,7650.0,7650.000000000231
AL-AMEER SPRINGS,12870.0,9700.0,9700.0,9700.0,9700.0,9700.0,9700.0,9700.0,9700.0,9700.00000000023
AL-AZIZ & COMPANY,56624.0,56624.0,56624.0,56624.0,56624.0,56624.0,56624.0,56624.0,56624.0,56624.00000000022
AL-FAH ASSOCIATES,984556.0,551560.0,449082.0,297594.0,423990.0,275550.0,23920.0,23920.0,23920.0,23920.00000000057
AL-JAMI,306204.0,143509.0,12740.0,17700.0,17700.0,17700.0,17700.0,17700.0,17700.0,17700.000000000153
AL-JUYUSHI TRADING COMPANY,48160.0,48160.0,48160.0,48160.0,48160.0,48160.0,48160.0,48160.0,48160.0,48160.000000000226
AL-SAJ HOTEL,11080.0,11080.0,11080.0,11080.0,11080.0,11080.0,11080.0,11080.0,11080.0,11080.000000000231
AL. MM. ENTERPRISES,18060.0,18060.0,18060.0,18060.0,18060.0,18060.0,18060.0,18060.0,18060.0,18060.00000000023
ALAIJA RUBBER FACTORY,6090.0,6090.0,6090.0,6090.0,6090.0,6090.0,6090.0,6090.0,6090.0,6090.000000000232
ALAINS FURNITURE AND GIFT HOUSE,83691.0,41908.0,41908.0,41908.0,41908.0,41908.0,41908.0,41908.0,41908.0,41908.0000000002
ALAKKAD TIMBERS,129460.0,129460.0,129460.0,129460.0,129460.0,129460.0,129460.0,129460.0,129460.0,129460.0000000002
ALAMGEER ASSOCIATES,66700.0,66700.0,66700.0,66700.0,66700.0,66700.0,54966.67,43233.33,31500.0,31500.000000000244
ALANEX INDUSTRIES,4255.0,4255.0,4255.0,4255.0,4255.0,4255.0,4255.0,4255.0,4255.0,4255.000000000232
ALANGAR JEWLLERS,13088.0,13088.0,13088.0,13088.0,13088.0,13088.0,13088.0,13088.0,13088.0,13088.000000000231
ALANIS BEAUTY PARLOUR,2470.0,2470.0,2470.0,2470.0,2470.0,2470.0,2470.0,2470.0,2470.0,2470.0000000002324
ALANKAR MARKETING,7030.0,7030.0,7030.0,7030.0,7030.0,7030.0,7030.0,7030.0,7030.0,7030.000000000231
ALANKAR TRADERS,97640.0,97640.0,97640.0,97640.0,304200.0,393275.0,482350.0,574420.0,427500.0,427500.0000000001
ALANTECH INDUSTRIAL SOLUTIONS,17940.0,17940.0,17940.0,17940.0,17940.0,17940.0,17940.0,17940.0,17940.0,17940.00000000023
ALASAFA STEEL AND ROOFING,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.00000000023282
ALASKA INTERNATIONAL,365611.0,365611.0,365611.0,365611.0,365611.0,365611.0,365611.0,365611.0,1354922.0,1354921.9999999998
ALBANNA ENGINEERING INDIA P. LTD.,5391.0,5391.0,5391.0,5391.0,5391.0,5391.0,5391.0,5391.0,5391.0,5391.000000000232
ALBORZ IMPEX,105972.0,105972.0,105972.0,105972.0,105972.0,105972.0,105972.0,105972.0,105972.0,105972.00000000022
ALCHEM,54000.0,54000.0,54000.0,54000.0,54000.0,54000.0,54000.0,54000.0,54000.0,54000.000000000226
ALCHEMY ALLOYS,46640.0,46640.0,46640.0,46640.0,46640.0,46640.0,46640.0,46640.0,46640.0,46640.000000000226
ALCO ALUMINIUM PRODUCTS,6994.0,6994.0,6994.0,6994.0,6994.0,6994.0,6994.0,6994.0,6994.0,6994.000000000231
ALEEF CASHEW COMPANY,103270.0,103270.0,103270.0,103270.0,103270.0,103270.0,103270.0,103270.0,103270.0,103270.00000000022
ALEKH ENTERPRISES,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0000000002326
ALEPH ENTERPRISES,1048144.0,1048144.0,1048144.0,1048144.0,1048144.0,1048144.0,1048144.0,1048144.0,1048144.0,1048144.0
ALETHEIA RETAIL LLP,3920.0,3920.0,3920.0,3920.0,3920.0,3920.0,3920.0,3920.0,3920.0,3920.000000000232
ALEX FISHING NET P. LTD.,54010.0,54010.0,54010.0,54010.0,54010.0,54010.0,54010.0,54010.0,54010.0,54010.000000000226
ALEX NETTING COMPANY,44690.0,44690.0,44690.0,25910.0,25910.0,25910.0,25910.0,25910.0,25910.0,25910.000000000247
ALEYAMMA CASHEW COMPANY,65000.0,65000.0,65000.0,65000.0,65000.0,65000.0,65000.0,65000.0,65000.0,65000.00000000022
ALFA ALUMINIUM ANODISERS,15063.0,15063.0,15063.0,15063.0,15063.0,4060.0,1302.0,1302.0,1302.0,1302.0000000002472
ALFA GLOBAL FURNITURE,92000.0,92000.0,92000.0,92000.0,92000.0,92000.0,92000.0,92000.0,92000.0,92000.00000000022
ALFA TIME SERVIE PRIVATE LTD.,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.00000000023283
ALFA TRADE LINKS,46800.0,46800.0,46800.0,46800.0,46800.0,46800.0,46800.0,46800.0,46800.0,46800.000000000226
ALFA VENTURES P. LTD.,5920.0,5920.0,5920.0,5920.0,5920.0,5920.0,5920.0,5920.0,5920.0,5920.000000000232
ALFIYA CASHEW COMPANY,106920.0,106920.0,106920.0,106920.0,106920.0,106920.0,106920.0,106920.0,106920.0,106920.00000000022
ALFRESO MACHINERY,52810.0,52810.0,52810.0,52810.0,52810.0,52810.0,52810.0,52810.0,52810.0,52810.000000000226
ALIA FORMTECH STEEL INDUSTRY,286486.0,346608.0,346608.0,346608.0,346608.0,346608.0,346608.0,346608.0,346608.0,346608.0000000002
ALIF IMPEX,36560.0,36560.0,36560.0,36560.0,36560.0,20211.0,285264.0,497078.0,260416.0,260415.99999999988
ALIF IMPORT & EXPORT,63060.0,39225.0,15390.0,15390.0,15390.0,15390.0,15390.0,15390.0,15390.0,15390.00000000022
ALIF PACKS,20800.0,20800.0,20800.0,20800.0,20800.0,20800.0,20800.0,20800.0,20800.0,20800.00000000023
ALIMA TIMBER INDUSTRIES,161750.0,37500.0,44593.0,51686.0,51686.0,51686.0,51686.0,51686.0,51686.0,51686.000000000146
ALIN CASHEWS,1419885.0,313364.0,372210.0,211214.0,128500.0,51770.0,51770.0,51770.0,51770.0,51769.99999999975
ALIPH CARBON P.LTD.,4655.0,4655.0,4655.0,4655.0,4655.0,4655.0,4655.0,4655.0,4655.0,4655.000000000232
ALISPED INDIA P. LTD.,22500.0,22500.0,22500.0,28992.0,35484.0,41976.0,48468.0,54960.0,10781.0,10781.000000000218
ALIYA CASHEW EXPORTERS,102800.0,85123.0,85123.0,85123.0,85123.0,85123.0,85123.0,85123.0,85123.0,85123.0000000002
ALIYARSONS VENEERS AND PLYWOODS,443044.0,443044.0,443044.0,443044.0,443044.0,443044.0,443044.0,768105.0,1570390.0,1570389.9999999995
ALIYAS DISPOSABLES,24100.0,24100.0,24100.0,24100.0,24100.0,24100.0,24100.0,24100.0,24100.0,24100.00000000023
ALK TRADING CORPORATION,188550.0,188550.0,188550.0,143463.33,98376.67,53290.0,53290.0,53290.0,53290.0,53290.00000000029
ALL SAINTS TIMBER INDUSTRIES,117248.0,117248.0,117248.0,117248.0,282815.0,448382.0,184011.0,300637.0,319667.0,319667.0000000001
ALLANASONS LTD.,38848.0,38848.0,38848.0,97887.0,78279.25,58671.5,39063.75,19456.0,19456.0,19456.000000000204
ALLEN IMPORTERS & EXPORTERS,10785.0,10785.0,10785.0,10785.0,10785.0,10785.0,10785.0,10785.0,10785.0,10785.000000000231
ALLEPPEY CO-OPERATIVE SPINNING MILLS LTD.,13956.0,13956.0,13956.0,13956.0,13956.0,13956.0,13956.0,13956.0,13956.0,13956.00000000023
ALLEPPEY FIBRE TUFT PVT LTD,29239.0,274244.0,103768.0,129710.0,63068.0,63068.0,63068.0,63068.0,63068.0,63068.00000000031
ALLEPPEY LATEX ( P) LTD.,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0000000002324
ALLIANCE MARINE PRODUCT,93700.0,93700.0,93700.0,93700.0,93700.0,93700.0,93700.0,93700.0,93700.0,93700.00000000022
ALLIANZ CONRHILL INFORMATION SERVICES P. LTD.,6176.0,6176.0,6176.0,6176.0,6176.0,6176.0,6176.0,6176.0,6176.0,6176.000000000232
ALLIANZ CORNHILL INFORMATION SERVICES P. LTD.,25224.0,25224.0,25224.0,25224.0,25224.0,25224.0,25224.0,25224.0,25224.0,25224.00000000023
ALLIED CASHEW EXPORTS,53520.0,53520.0,53520.0,53520.0,53520.0,53520.0,53520.0,53520.0,53520.0,53520.000000000226
ALLIED ELECTRONICS CORPORATION,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0000000002328
ALLIED METAL TRADING,25500.0,25850.0,26200.0,26333.33,26466.67,26600.0,26600.0,26600.0,26600.0,26600.00000000023
"ALLIED SPECIALITY PAPERS (INDIA) P. LTD.,",158861.0,170335.0,246440.0,130526.5,14613.0,14613.0,14613.0,14613.0,14613.0,14613.000000000246
ALLKOSHYS ALL SPICES,7300.0,7300.0,7300.0,7300.0,7300.0,7300.0,7300.0,7300.0,7300.0,7300.000000000231
ALLOOS TRADE LINKS,9770.0,9770.0,9770.0,9770.0,9770.0,9770.0,9770.0,9770.0,9770.0,9770.000000000231
ALLUS TRADING,141550.0,141550.0,141550.0,141550.0,141550.0,141550.0,141550.0,141550.0,141550.0,141550.0000000002
ALLWIN TECHNOLOGIES,6796.0,6796.0,6796.0,6796.0,6796.0,78146.0,81710.0,80208.0,394831.0,394831.00000000006
ALM ENDEAVOURS P. LTD.,2780.0,2780.0,2780.0,12330.0,12330.0,12330.0,12330.0,12330.0,12330.0,12330.000000000222
"ALM ENDEAVOURS PVT LTD.,",11829.0,11829.0,11829.0,11829.0,11829.0,11829.0,11829.0,11829.0,11829.0,11829.000000000231
ALMANAMA RETAIL P. LTD.,96166.0,6980.0,6980.0,6980.0,6980.0,6980.0,6980.0,6980.0,6980.0,6980.000000000179
ALMOE DIGITAL SOLUTIONS (P )LTD,3053.0,3053.0,3053.0,3053.0,3053.0,3053.0,3053.0,3053.0,3053.0,3053.0000000002324
ALPESH METALS,51317.0,51317.0,51317.0,51317.0,212333.0,53590.0,28413.0,28413.0,28413.0,28413.000000000557
ALPHA ASSOCIATES,361286.0,361286.0,361286.0,361286.0,1328658.0,112000.0,164950.0,278967.0,557490.0,557490.0000000021
ALPHA ENTERPRISES,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.000000000231
ALPHA INTERNATIONAL,526235.0,179620.0,179620.0,179620.0,179620.0,179620.0,179620.0,179620.0,179620.0,179620.0
ALPHA MATS,24760.0,24760.0,24760.0,24760.0,24760.0,24760.0,24760.0,24760.0,24760.0,24760.00000000023
ALPHA RUBBERS,4452.0,27054.0,27054.0,27054.0,27054.0,27054.0,27054.0,27054.0,27054.0,27054.000000000244
ALPHA TRADE LINKS,2446.0,2446.0,2446.0,2446.0,2446.0,2446.0,2446.0,2446.0,2446.0,2446.0000000002324
ALPINE EDUCATIONAL FOUNDATION,8445.0,8445.0,8445.0,8445.0,8445.0,8445.0,8445.0,8445.0,8445.0,8445.000000000231
ALS EXPORT ,136230.0,27800.0,55336.67,82873.33,110410.0,110410.0,110410.0,110410.0,110410.0,110410.00000000013
ALS IMPORTS AND EXPORTS P. LTD.,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.00000000023
"ALSAFA STEEL AND ROOFING,",2760.0,2760.0,2760.0,2760.0,21970.0,21970.0,21970.0,21970.0,21970.0,21970.000000000244
ALSTOM TRANSPORT INDIA LIMITE,27982.0,109905.0,89973.0,52956.0,15939.0,13200.0,13200.0,13200.0,13200.0,13200.000000000293
ALSUHARAF RAFEEK,13640.0,13640.0,13640.0,13640.0,13640.0,13640.0,13640.0,13640.0,13640.0,13640.000000000231
ALTERNATE ENERGY CORPORATION,26000.0,43797.0,67450.0,27178.0,27178.0,27178.0,27178.0,27178.0,27178.0,27178.000000000276
ALTIUS GROUP,12080.0,12080.0,12080.0,52246.0,52246.0,52246.0,52246.0,52246.0,52246.0,52246.00000000018
ALTOP INDUSTRIES,5515.0,5515.0,5515.0,5515.0,5515.0,5515.0,5515.0,5515.0,2620.0,2620.000000000233
ALTRA PANELS,454275.0,454275.0,454275.0,454275.0,454275.0,454275.0,454275.0,1056056.0,814933.0,814932.9999999997
ALUCRAFT MFG. & MARKETING LLP,91230.0,91230.0,91230.0,91230.0,91230.0,91230.0,91230.0,117480.0,195980.0,195980.00000000017
ALUCRAFT MFG. & MARKETING LLP.,59620.0,59620.0,59620.0,59620.0,59620.0,59620.0,59620.0,432555.0,137890.0,137889.99999999988
ALUKKA GOLD PALACE,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.000000000231
ALUMINIUM SPINNING MILLS,44740.0,44740.0,44740.0,79920.0,175300.0,138315.0,138315.0,138315.0,138315.0,138315.0000000003
ALUMPARAMPIL HOMES & HOTELS (PVT) L,4550.0,4550.0,4550.0,4550.0,2858.0,1166.0,1166.0,1166.0,1166.0,1166.000000000233
ALUMPARAMPIL HOMES& HOTELS,130.0,130.0,52950.0,15655.0,117075.0,7346.0,7346.0,7346.0,7346.0,7346.000000000469
ALUTEC,12395.0,12395.0,12395.0,12395.0,12395.0,12395.0,12395.0,12395.0,12395.0,12395.000000000231
ALVA COLD STORAGE,29435.0,29435.0,29435.0,29435.0,29435.0,29435.0,29435.0,29435.0,29435.0,29435.000000000226
ALVATEC SYSTEMS FURNITURE,600.0,1451.5,2303.0,2303.0,2303.0,2303.0,2303.0,2303.0,2303.0,2303.0000000002324
ALZAD TRADING,5380.0,15860.0,15860.0,15860.0,15860.0,15860.0,15860.0,15860.0,15860.0,15860.000000000235
ALZAIM INTERNATIONAL EXPORTS LLP.,737248.0,737248.0,737248.0,737248.0,737248.0,737248.0,737248.0,737248.0,737248.0,737248.0000000001
ALZAM INTERNATIONAL EXPORTS LLP.,106496.0,106496.0,106496.0,106496.0,106496.0,106496.0,106496.0,106496.0,106496.0,106496.00000000022
AM POWER CORD CORPN.,78594.0,78766.0,85811.0,41100.0,35726.0,49037.0,163092.0,163092.0,163092.0,163092.00000000015
AMA INTERNATIONAL,170380.0,170380.0,1740181.0,3554069.0,9356829.0,6935032.0,6186386.0,10251391.0,9363030.0,9363030.0
AMA PRIVATE LIMITED,11776.0,8904.5,6033.0,6033.0,6033.0,6033.0,6033.0,6033.0,6033.0,6033.000000000231
AMAAN INTERNATIONAL,5642.0,5642.0,5642.0,6441.0,7240.0,7240.0,7240.0,7240.0,7240.0,7240.000000000231
AMABELL TRADING,10159.0,40170.0,44201.0,31035.5,17870.0,11320.0,11320.0,11320.0,11320.0,11320.000000000258
